,image,Team,team_photo,year,draft_pick,yprr_p,yprr,tprr_p,tprr,name,open_p,open,catch_p,catch,yac_p,yac,draft_agep,htp,ht,wtp,wt,dashp,dash,vertp,vert,broadp,broad,conep,cone,shuttlep,shuttle,rasp,ras,draft_age,breakoutagep,breakout_age,hs,best_ppg ,adp,years_removed
76,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Tyquan-Thornton-WR-Baylor.png,Baylor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/1200px-Baylor_Athletics_logo.svg.png,2022,50,0.099,1.87,0.07,0.19,Tyquan Thornton,0.183,41,0.43,69,0.134,57,0.745,0.784,6023,0.165,181,0.979,4.28,0.516,36.5,0.828,130,0.164,7.25,0.187,4.39,0.592,8.54,21.4,0.819,19.1,4,3.45,25,"1,2"
64,https://yardsperfantasy.com/wp-content/uploads/2022/01/AB1F7897-5AFE-4DF6-9BFA-08357D09B4DE.png,Cincinnati,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/1200px-Cincinnati_Bearcats_logo.svg.png,2022,53,0.296,2.18,0.127,0.2,Alec Pierce,0.19,42,0.923,84,0.042,53,0.584,0.853,6031,0.757,211,0.667,4.41,0.895,40.5,0.785,129,0.26,7.13,0.44,4.28,0.961,9.83,21.7,0.754,19.3,4,5.17,21,"1,2"
38,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/George-Pickens-WR-Georgia.png,Georgia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Georgia_Athletics_logo.svg/1200px-Georgia_Athletics_logo.svg.png,2022,52,0.458,2.35,0.401,0.24,George Pickens,0.415,48,0.782,79,0.077,55,0.949,0.862,6032,0.426,195,0.469,4.47,0.074,33,0.527,125,,-,,-,0.796,9.35,20.8,0.928,18.5,3,8.65,13,"1,2"
56,https://www.si.com/.image/t_share/MTgzNDMwNjE5MTYwNjUwNzkw/i.png,Kentucky,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Kentucky_Wildcats_logo.svg/1200px-Kentucky_Wildcats_logo.svg.png,2022,43,0.845,2.96,0.951,0.33,Wan'Dale Robinson,0.739,60,0.782,79,0.62,69,0.876,0.026,5080,0.113,178,0.531,4.44,0.221,34.5,0.075,118,0.521,6.99,0.827,4.13,0.379,7.35,21,0.884,18.7,3,6.22,22,"1,2"
83,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4243389.png&w=350&h=254,Memphis,https://upload.wikimedia.org/wikipedia/en/4/45/Memphis_Tigers_logo.svg,2022,138,0.732,2.76,0.866,0.29,Calvin Austin III,0.915,70,0.07,57,0.387,64,0.19,0.017,5076,0.043,170,0.896,4.32,0.758,39,0.935,135,0.959,6.65,0.893,4.07,0.738,9.05,22.8,0.072,22.4,5,2.64,40,1
42,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Romeo-Doubs-WR-Nevada.png,Nevada,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/1200px-Nevada_Wolf_Pack_logo.svg.png,2022,132,0.401,2.25,0.31,0.23,Romeo Doubs,0.268,44,0.718,77,0.345,63,0.533,0.741,6017,0.496,201,,-,,-,,-,,-,,-,,-,21.7,0.725,19.4,4,7.63,28,"1,2"
20,https://www.si.com/.image/t_share/MTgyMDk5MTA2Mjg0NDQ2ODUx/chris-olave.png,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2022,11,0.754,2.8,0.62,0.26,Chris Olave,0.711,59,0.958,87,0.092,56,0.679,0.56,6006,0.287,187,0.74,4.39,0.053,32,0.398,124,,-,,-,0.641,8.64,21.5,0.79,19.2,4,11.21,7,"1,2"
30,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Garrett-Wilson-WR-OhioState.png,Ohio State,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/1200px-Ohio_State_Buckeyes_logo.svg.png,2022,10,0.711,2.73,0.521,0.25,Garrett Wilson,0.563,55,0.838,80,0.437,65,0.679,0.379,5116,0.226,183,0.781,4.38,0.421,36,0.323,123,,-,0.213,4.36,0.427,7.77,21.5,0.507,20.1,3,10.23,4,"1,2"
41,https://www.si.com/.image/t_share/MTgyMTAxMDUyMTczMDY3Mzk1/i.png,Penn State,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/1200px-Penn_State_Nittany_Lions_logo.svg.png,2022,16,0.254,2.11,0.239,0.22,Jahan Dotson,0.324,45,0.275,64,0.521,67,0.533,0.233,5105,0.113,178,0.615,4.43,0.421,36,0.172,121,0.123,7.28,,-,0.233,6.33,21.8,0.254,21.2,4,7.94,11,"1,2"
89,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570409.png&w=350&h=254,Purdue,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/1200px-Purdue_Boilermakers_logo.svg.png,2022,99,0.465,2.36,0.732,0.27,David Bell,0.345,46,0.62,75,0.437,65,0.818,0.586,6007,0.765,212,0,4.65,0.074,33,0.075,118,0.233,7.14,0,4.57,0.01,3.99,21.1,0.884,18.7,3,1.82,17,"1,2"
108,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4248822.png&w=350&h=254,Samford,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/1200px-Samford_Bulldogs_logo.svg.png,2022,162,0.127,1.91,0.07,0.19,Montrell Washington,0.155,40,0.317,66,0.387,64,0.533,0.095,5087,0.165,181,0.375,4.48,0.421,36,,-,0.151,7.25,0.333,4.32,0.049,4.32,21.8,0.254,21.1,4,0,45,0
109,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4689546.png,SMU,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/SMU_Mustang_logo.svg/1200px-SMU_Mustang_logo.svg.png,2022,105,0.514,2.44,0.401,0.24,Danny Gray,0.465,50,0.387,67,0.944,82,0.19,0.397,5117,0.261,186,0.896,4.33,0.189,34,0.613,126,0,7.38,0.213,4.37,0.262,6.76,22.8,0.196,21.5,4,0,45,0
97,https://www.si.com/.image/t_share/MTgyNDUzODAyNjY4OTI2MDgz/i.png,South Alabama,https://upload.wikimedia.org/wikipedia/en/e/ee/Southalabama_jaguars_logo.png,2022,88,0.606,2.55,0.521,0.25,Jalen Tolbert,0.782,62,0.317,66,0.204,59,0.168,0.638,6011,0.409,194,0.333,4.49,0.421,36,0.323,123,0.342,7.08,0.56,4.24,0.621,8.61,22.9,0.406,20.5,5,1.59,23,"1,2"
92,https://www.si.com/.image/t_share/MTg2MzczMzAzMzg3MDM4ODQ5/i.png,Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,2022,71,0.218,2.05,0.239,0.22,Velus Jones Jr.,0.07,35,0.577,73,0.887,78,0,0.379,5116,0.574,204,0.948,4.31,0.074,33,0.172,121,0.068,7.32,0.053,4.51,0.33,7.1,24.7,0,24.3,6,1.74,37,"1,2"
110,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Erik-Ezukanma-WR-TexasTech.png,Texas Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Texas_Tech_Athletics_logo.svg/1200px-Texas_Tech_Athletics_logo.svg.png,2022,125,0.282,2.14,0.176,0.21,Erik Ezukanma,0.225,43,0.43,69,0.62,69,0.489,0.741,6017,0.722,209,0.135,4.55,0.516,36.5,0.613,126,0.205,7.2,0.213,4.38,0.311,7.03,21.9,0.37,20.6,4,0,45,0
85,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Kyle-Philips-WR-UCLA.png,UCLA,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/UCLA_Bruins_primary_logo.svg/1200px-UCLA_Bruins_primary_logo.svg.png,2022,163,0.049,1.74,0.401,0.24,Kyle Philips,0.19,42,0.035,53,0.437,65,0.241,0.31,5112,0.339,189,0.083,4.58,0.158,33.5,0.398,124,0.863,6.75,0.893,4.09,0.524,8.31,22.6,0.507,20.2,4,2.41,38,
36,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Drake-London-WR-USC.png,USC,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,2022,8,0.444,2.32,0.31,0.23,Drake London,0.19,42,0.782,79,0.592,68,1,0.914,6037,0.852,219,,-,,-,,-,,-,,-,,-,20.5,0.986,18.1,3,8.8,3,"1,2"
84,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430191.png&w=350&h=254,Western Michigan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Western_Michigan_Broncos_%282021%29_logo.svg/1200px-Western_Michigan_Broncos_%282021%29_logo.svg.png,2022,54,0.817,2.92,0.866,0.29,Skyy Moore,0.761,61,0.577,73,0.69,70,0.774,0.155,5095,0.426,195,0.667,4.41,0.221,34.5,0.527,125,0.288,7.13,0.36,4.32,0.408,7.58,21.3,0.551,20,3,2.5,10,"1,2"
12,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Jaylen-Waddle-WR-Alabama.png,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,2021,6,0.993,3.57,0.401,0.24,Jaylen Waddle,0.859,67,0.979,90,0.944,82,0.299,0.129,5094,0.157,180,,-,,-,,-,,-,,-,,-,22.3,0.138,21.8,3,12.61,10,"1,2"
14,https://assets-sports.thescore.com/football/player/119710/headshot.png,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,2021,10,0.887,3.1,0.401,0.24,DeVonta Smith,0.345,46,0.965,88,0.944,82,0.299,0.448,6002,0.026,166,,-,,-,,-,,-,,-,,-,22.4,0.333,20.8,4,12.06,9,"2,3"
90,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4371986.png&w=350&h=254,Auburn,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/2317px-Auburn_Tigers_logo.svg.png,2021,91,0.415,2.3,0.803,0.28,Anthony Schwartz,0.43,49,0.07,57,0.944,82,0.993,0.414,6000,0.261,186,1,4.27,0.053,32,0.323,123,0.26,7.13,0.507,4.25,0.291,6.89,20.6,0.551,20,3,1.8,33,"1,2"
99,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Amari-Rodgers-WR-Clemson.png,Clemson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1200px-Clemson_Tigers_logo.svg.png,2021,85,0.176,2,0.239,0.22,Amari Rodgers,0,25,0.62,75,0.944,82,0.657,0.129,5094,0.765,212,0.229,4.52,0.074,33,0.172,121,0.342,7.07,0.373,4.31,0.117,5.35,21.5,0.254,21,4,1.15,20,"1,2"
106,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4035465.png&w=350&h=254,Clemson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1200px-Clemson_Tigers_logo.svg.png,2021,181,0.113,1.88,0.127,0.2,Cornell Powell,0.07,35,0.556,72,0.521,67,0.015,0.448,6002,0.574,204,0.177,4.53,0.516,36.5,0.71,128,0.466,7.03,0.627,4.21,0.398,7.57,23.4,0.022,22.9,5,0,41,0
57,https://profootballdraft.com/wp-content/uploads/2020/10/Toney.png,Florida,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Florida_Gators_gator_logo.svg/1200px-Florida_Gators_gator_logo.svg.png,2021,20,0.62,2.56,0.401,0.24,Kadarius Toney,0.225,43,0.782,79,0.979,83,0.438,0.362,5115,0.391,193,0.781,4.38,0.8,39.5,0.978,136,0.712,6.88,0.613,4.23,0.709,8.99,22.1,0.167,21.6,4,5.89,18,"1,2"
91,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Ihmir-Smith-Marsette-WR-Iowa.png,Iowa,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Iowa_Hawkeyes_logo.svg/1200px-Iowa_Hawkeyes_logo.svg.png,2021,157,0.035,1.68,0.239,0.22,Ihmir Smith-Marsette,0.38,47,0.007,48,0.134,57,0.679,0.56,6006,0.165,181,0.333,4.5,0.6,37,0.398,124,0.342,7.06,0.6,4.23,0.282,6.81,21.5,0.551,20,3,1.77,43,"1,3"
58,"https://footballguys.imgix.net/nfl-player-headshots/AtweTu00.png?auto=format,compress&h=160&trim=color",Louisville,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/1200px-Louisville_Cardinals_logo.svg.png,2021,57,0.627,2.57,0.521,0.25,Tutu Atwell,0.711,59,0.169,60,0.732,71,0.745,0.095,5087,0,149,0.74,4.39,0.074,33,0.065,117,0.712,6.87,0.867,4.09,0.223,6.25,21.4,0.848,18.9,3,5.54,31,"2,3"
107,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4036026.png&w=350&h=254,Louisville,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/1200px-Louisville_Cardinals_logo.svg.png,2021,109,0.197,2.01,0.176,0.21,Dez Fitzpatrick,0.486,51,0.056,56,0.204,59,0.088,0.716,6016,0.696,208,0.333,4.49,0.295,35,,-,0.342,7.06,0.533,4.25,0.689,8.81,23.3,0.667,19.7,5,0,45,0
5,https://nfldraftbuzz.com/Content/PlayerHeadShots/Ja'Marr-Chase-WR-LSU.png,LSU,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,2021,5,0.901,3.12,0.31,0.23,Ja'Marr Chase,0.824,64,0.859,81,0.69,70,0.818,0.466,6003,0.496,201,0.885,4.34,0.947,41,0.882,132,0.575,6.96,0.987,3.99,0.951,9.82,21.1,0.667,19.5,3,15.43,3,"1,2"
72,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Terrace-MarshallJr-WR-LSU.png,LSU,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/2560px-LSU_Athletics_logo.svg.png,2021,59,0.162,1.98,0.07,0.19,Terrace Marshall Jr.,0.092,36,0.718,77,0.324,62,0.971,0.793,6024,0.609,205,0.667,4.4,0.758,39,0.527,125,,-,,-,0.913,9.76,20.8,0.79,19.2,3,4.14,15,"2,3"
21,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Nico-Collins-WR-Michigan.png,Michigan,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Michigan_Wolverines_logo.svg/1200px-Michigan_Wolverines_logo.svg.png,2021,89,0.282,2.14,0.127,0.2,Nico Collins,0.268,44,0.556,72,0.246,60,0.438,0.957,6041,0.826,215,0.469,4.45,0.632,37.5,0.527,125,0.89,6.71,0.373,4.32,0.874,9.57,22.1,0.667,19.5,4,11.14,23,"2,3"
48,https://profootballdraft.com/wp-content/uploads/2020/05/RashodBateman.png,Minnesota,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Minnesota_Golden_Gophers_logo.svg/1200px-Minnesota_Golden_Gophers_logo.svg.png,2021,27,0.803,2.89,0.901,0.3,Rashod Bateman,0.915,70,0.239,63,0.345,63,0.774,0.466,6003,0.365,190,0.573,4.43,0.421,36,0.323,123,0.63,6.95,0.213,4.35,0.466,8.04,21.3,0.862,18.8,3,7.06,12,"1,2"
88,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4361577.png&w=350&h=254,North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/North_Carolina_Tar_Heels_logo.svg/1200px-North_Carolina_Tar_Heels_logo.svg.png,2021,82,0.465,2.36,0.127,0.2,Dyami Brown,0.43,49,0.782,79,0.176,58,0.745,0.517,6005,0.339,189,0.51,4.45,0.347,35.5,0.71,128,0.767,6.85,0.213,4.35,0.553,8.38,21.4,0.63,19.8,3,2.07,26,"2,3"
105,https://www.playerprofiler.com/wp-content/uploads/2021/01/jaelon-darden-advanced-stats.png,North Texas,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/North_Texas_Mean_Green_logo.svg/1200px-North_Texas_Mean_Green_logo.svg.png,2021,129,0.542,2.51,0.901,0.3,Jaelon Darden,0.486,51,0.275,64,0.775,72,0.401,0.009,5075,0.07,174,0.469,4.46,0.347,35.5,0.258,122,0.918,6.67,0.853,4.1,0.35,7.15,22.2,0.37,20.6,4,0,44,"1,2"
102,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/208716.png&w=350&h=254,Oklahoma State,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/1200px-Oklahoma_State_University_system_logo.svg.png,2021,131,0.908,3.13,0.93,0.31,Tylan Wallace,0.965,76,0.43,69,0.246,60,0.511,0.336,5113,0.409,194,0.313,4.5,0.074,33,0.022,112,0.562,6.97,0.507,4.25,0.087,4.71,21.9,0.768,19.3,4,0.65,30,"2,3"
40,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4372414.png,Ole Miss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/2560px-Ole_Miss_Rebels_logo.svg.png,2021,34,0.725,2.75,0.901,0.3,Elijah Moore,0.711,59,0.606,74,0.437,65,0.905,0.129,5094,0.113,178,0.854,4.35,0.421,36,0.172,121,0.918,6.65,0.96,4,0.66,8.69,21,0.725,19.4,3,8.08,16,"1,3"
50,https://bloximages.chicago2.vip.townnews.com/newsandtribune.com/content/tncms/assets/v3/editorial/0/c6/0c660d86-fee0-11eb-aa59-2b59fb7fc548/611ae47bddd8e.image.png,Purdue,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/1200px-Purdue_Boilermakers_logo.svg.png,2021,49,0.669,2.63,0.944,0.32,Rondale Moore,0.465,50,0.317,66,0.915,80,0.985,0,5070,0.165,181,0.896,4.32,0.989,42.5,0.71,128,0.89,6.68,0.867,4.1,0.786,9.33,20.8,0.964,18.2,3,6.77,13,"1,2"
101,https://static.www.nfl.com/image/private/t_editorial_landscape_mobile/f_auto/league/tdixulojbj0bb6dvinqk,Stanford,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/304px-Stanford_Cardinal_logo.svg.png,2021,179,0.38,2.23,0.31,0.23,Simi Fehoko,0.592,56,0.134,59,0.028,52,0.073,0.914,6037,0.878,222,0.531,4.44,0.221,34.5,0.118,120,0.836,6.78,0.44,4.26,0.757,9.18,23.4,0.138,21.8,5,1.01,45,"2,3"
39,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/5121573.png,Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/1200px-Tennessee_Volunteers_logo.svg.png,2021,77,0,1.42,0.014,0.18,Josh Palmer,0.134,38,0.134,59,0,41,0.657,0.647,6012,0.73,210,0.271,4.51,0.189,34,0.527,125,0.534,6.98,0.56,4.24,0.417,7.59,21.5,0.29,21,4,8.58,26,"2,3"
6,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/Amon-Ra-StBrown-WR-USC.png,USC,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/USC_Trojans_logo.svg/686px-USC_Trojans_logo.svg.png,2021,112,0.254,2.11,0.31,0.23,Amon-Ra St. Brown,0.155,40,0.718,77,0.345,63,0.723,0.353,5114,0.452,197,0.031,4.61,0.705,38.5,0.667,127,0.699,6.9,0.44,4.26,0.34,7.12,21.4,0.833,18.9,3,14.48,19,"2,3"
95,https://www.nfldraftbuzz.com/Content/PlayerHeadShots/D'Wayne-Eskridge-WR-WesternMichigan.png,Western Michigan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Western_Michigan_Broncos_%282021%29_logo.svg/1200px-Western_Michigan_Broncos_%282021%29_logo.svg.png,2021,56,0.81,2.91,0.62,0.26,D'Wayne Eskridge,0.915,70,0.134,59,0.775,72,0.015,0.069,5086,0.365,190,0.708,4.4,0.295,35,0.398,124,0.63,6.95,0.44,4.27,0.243,6.71,24,0.449,20.5,5,1.65,29,"1,2"
28,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241475.png&w=350&h=254,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,2020,12,0.38,2.23,0.014,0.18,Henry Ruggs III,0.113,37,0.718,77,0.93,81,0.584,0.276,5110,0.322,188,0.99,4.27,0.968,42,0.849,131,,-,,-,0.845,9.54,21.7,0.551,20,3,10.43,12,1
32,https://a.espncdn.com/combiner/i?img=/i/headshots/recruiting/ncf/players/full/203573.png&w=350&h=254,Alabama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alabama_Crimson_Tide_logo.svg/2048px-Alabama_Crimson_Tide_logo.svg.png,2020,15,0.831,2.95,0.521,0.25,Jerry Jeudy,0.796,63,0.556,72,0.62,69,0.876,0.603,6010,0.391,193,0.51,4.45,0.295,35,0.118,120,,-,0.04,4.53,0.262,6.76,21,0.725,19.4,3,9.74,10,"1,3"
15,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4360438.png,Arizona State,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/ASU_Athletics_Logo.svg/2560px-ASU_Athletics_Logo.svg.png,2020,25,0.711,2.73,0.401,0.24,Brandon Aiyuk,0.592,56,0.317,66,0.986,85,0.438,0.362,5115,0.609,205,0.271,4.5,0.853,40,0.71,128,,-,,-,0.583,8.47,22.1,0.406,20.5,4,12.03,19,"3,4"
77,"https://static.www.nfl.com/image/private/f_auto,q_85/league/bw5tmpojs437fgssnsu7",Baylor,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/1200px-Baylor_Athletics_logo.svg.png,2020,59,0.352,2.22,0.401,0.24,Denzel Mims,0.592,56,0.239,63,0.092,56,0.299,0.828,6027,0.678,207,0.781,4.38,0.705,38.5,0.849,131,0.918,6.66,0.133,4.43,0.932,9.77,22.5,0.862,18.9,4,3.3,15,"1,2"
18,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4239993.png&w=350&h=254,Clemson,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/1200px-Clemson_Tigers_logo.svg.png,2020,33,0.951,3.37,0.866,0.29,Tee Higgins,0.972,77,0.683,76,0.324,62,0.818,0.897,6035,0.835,216,0.167,4.54,0.032,31,,-,,-,0.027,4.53,0.019,4.13,21.2,0.92,18.6,3,11.87,13,"2,3"
44,https://www.maddenratings.com/wp-content/uploads/laviska-shenault-jr.png,Colorado,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/1200px-Colorado_Buffaloes_logo.svg.png,2020,42,0.958,3.39,0.972,0.34,Laviska Shenault Jr.,0.859,67,0.754,78,0.887,78,0.657,0.517,6005,0.957,227,0.063,4.58,,-,,-,,-,,-,0.301,6.97,21.5,0.594,19.9,3,7.46,18,"1,2"
